clone,U_LTXSIM001_SU_T1.R1,U_LTXSIM001_SU_T1.R2,U_LTXSIM001_SU_T1.R3
clone1,0.030932249784898693,0.0006152863825499734,0.13833232368372714
clone12,0.281097602237003,0.0,0.0
clone13,0.0,0.02531936749067933,0.11125696930656054
clone14,0.155743156702686,0.0,0.0021018033936382598
clone15,0.0,0.0,0.15980780802949268
clone19,0.0,0.47851733059863305,0.253414209454567
clone20,0.020277557175080826,0.44602323830964813,0.3176796061404453
clone21,0.06845607296338037,0.0,0.017407279991568974
clone8,0.4434933611369511,0.04952477721848967,0.0
clone16,0.0,0.0,0.0
clone18,0.0,0.0,0.0
